Tipo de infracción;Comunidades y ciudades autónomas;Periodo;Total
Homicidio y sus formas;Melilla;2022;0
Homicidio y sus formas;Melilla;2021;0
Homicidio y sus formas;Melilla;2020;0
Homicidio y sus formas;Melilla;2019;0
Homicidio y sus formas;Melilla;2018;0
Homicidio y sus formas;Melilla;2017;1
Homicidio y sus formas;Melilla;2016;0
Homicidio y sus formas;Melilla;2015;0
Lesiones;Andalucía;2022;3.510
Lesiones;Andalucía;2021;3.097
Lesiones;Andalucía;2020;2.323
Lesiones;Andalucía;2019;2.964
Lesiones;Andalucía;2018;2.809
Lesiones;Andalucía;2017;2.702
Lesiones;Andalucía;2016;2.444
Lesiones;Andalucía;2015;2.287
Lesiones;Aragón;2022;518
Lesiones;Aragón;2021;454
Lesiones;Aragón;2020;374
Lesiones;Aragón;2019;405
Lesiones;Aragón;2018;340
Lesiones;Aragón;2017;373
Lesiones;Aragón;2016;352
Lesiones;Aragón;2015;311
Lesiones;Asturias, Principado de;2022;499
Lesiones;Asturias, Principado de;2021;345
Lesiones;Asturias, Principado de;2020;256
Lesiones;Asturias, Principado de;2019;337
Lesiones;Asturias, Principado de;2018;337
Lesiones;Asturias, Principado de;2017;344
Lesiones;Asturias, Principado de;2016;323
Lesiones;Asturias, Principado de;2015;271
Lesiones;Balears, Illes;2022;640
Lesiones;Balears, Illes;2021;574
Lesiones;Balears, Illes;2020;462
Lesiones;Balears, Illes;2019;676
Lesiones;Balears, Illes;2018;542
Lesiones;Balears, Illes;2017;606
Lesiones;Balears, Illes;2016;596
Lesiones;Balears, Illes;2015;466
Lesiones;Canarias;2022;1.194
Lesiones;Canarias;2021;1.031
Lesiones;Canarias;2020;939
Lesiones;Canarias;2019;1.120
Lesiones;Canarias;2018;930
Lesiones;Canarias;2017;847
Lesiones;Canarias;2016;851
Lesiones;Canarias;2015;838
Lesiones;Cantabria;2022;195
Lesiones;Cantabria;2021;177
Lesiones;Cantabria;2020;163
Lesiones;Cantabria;2019;180
Lesiones;Cantabria;2018;198
Lesiones;Cantabria;2017;144
Lesiones;Cantabria;2016;144
Lesiones;Cantabria;2015;165
Lesiones;Castilla y León;2022;701
Lesiones;Castilla y León;2021;608
Lesiones;Castilla y León;2020;405
Lesiones;Castilla y León;2019;533
Lesiones;Castilla y León;2018;515
Lesiones;Castilla y León;2017;516
Lesiones;Castilla y León;2016;500
Lesiones;Castilla y León;2015;496
Lesiones;Castilla - La Mancha;2022;677
Lesiones;Castilla - La Mancha;2021;625
Lesiones;Castilla - La Mancha;2020;464
Lesiones;Castilla - La Mancha;2019;547
Lesiones;Castilla - La Mancha;2018;558
Lesiones;Castilla - La Mancha;2017;542
Lesiones;Castilla - La Mancha;2016;573
Lesiones;Castilla - La Mancha;2015;560
Lesiones;Cataluña;2022;2.357
Lesiones;Cataluña;2021;1.996
Lesiones;Cataluña;2020;1.425
Lesiones;Cataluña;2019;1.725
Lesiones;Cataluña;2018;1.523
Lesiones;Cataluña;2017;1.502
Lesiones;Cataluña;2016;1.541
Lesiones;Cataluña;2015;1.446
Lesiones;Comunitat Valenciana;2022;2.912
Lesiones;Comunitat Valenciana;2021;2.450
Lesiones;Comunitat Valenciana;2020;1.906
Lesiones;Comunitat Valenciana;2019;2.335
Lesiones;Comunitat Valenciana;2018;2.036
Lesiones;Comunitat Valenciana;2017;1.965
Lesiones;Comunitat Valenciana;2016;1.879
Lesiones;Comunitat Valenciana;2015;1.857
Lesiones;Extremadura;2022;422
Lesiones;Extremadura;2021;355
Lesiones;Extremadura;2020;255
Lesiones;Extremadura;2019;311
Lesiones;Extremadura;2018;286
Lesiones;Extremadura;2017;324
Lesiones;Extremadura;2016;336
Lesiones;Extremadura;2015;305
Lesiones;Galicia;2022;929
Lesiones;Galicia;2021;771
Lesiones;Galicia;2020;607
Lesiones;Galicia;2019;665
Lesiones;Galicia;2018;613
Lesiones;Galicia;2017;650
Lesiones;Galicia;2016;578
Lesiones;Galicia;2015;569
Lesiones;Madrid, Comunidad de;2022;2.230
Lesiones;Madrid, Comunidad de;2021;1.859
Lesiones;Madrid, Comunidad de;2020;1.248
Lesiones;Madrid, Comunidad de;2019;1.659
Lesiones;Madrid, Comunidad de;2018;1.428
Lesiones;Madrid, Comunidad de;2017;1.486
Lesiones;Madrid, Comunidad de;2016;1.422
Lesiones;Madrid, Comunidad de;2015;1.449
Lesiones;Murcia, Región de;2022;1.092
Lesiones;Murcia, Región de;2021;924
Lesiones;Murcia, Región de;2020;633
Lesiones;Murcia, Región de;2019;822
Lesiones;Murcia, Región de;2018;733
Lesiones;Murcia, Región de;2017;764
Lesiones;Murcia, Región de;2016;735
Lesiones;Murcia, Región de;2015;652
Lesiones;Navarra, Comunidad Foral de;2022;326
Lesiones;Navarra, Comunidad Foral de;2021;224
Lesiones;Navarra, Comunidad Foral de;2020;157
Lesiones;Navarra, Comunidad Foral de;2019;231
Lesiones;Navarra, Comunidad Foral de;2018;183
Lesiones;Navarra, Comunidad Foral de;2017;177
Lesiones;Navarra, Comunidad Foral de;2016;158
Lesiones;Navarra, Comunidad Foral de;2015;152
Lesiones;País Vasco;2022;1.103
Lesiones;País Vasco;2021;858
Lesiones;País Vasco;2020;605
Lesiones;País Vasco;2019;771
Lesiones;País Vasco;2018;619
Lesiones;País Vasco;2017;602
Lesiones;País Vasco;2016;597
Lesiones;País Vasco;2015;627
Lesiones;Rioja, La;2022;175
Lesiones;Rioja, La;2021;114
Lesiones;Rioja, La;2020;98
Lesiones;Rioja, La;2019;116
Lesiones;Rioja, La;2018;121
Lesiones;Rioja, La;2017;99
Lesiones;Rioja, La;2016;107
Lesiones;Rioja, La;2015;105
Lesiones;Ceuta;2022;52
Lesiones;Ceuta;2021;42
Lesiones;Ceuta;2020;30
Lesiones;Ceuta;2019;20
Lesiones;Ceuta;2018;26
Lesiones;Ceuta;2017;34
Lesiones;Ceuta;2016;46
Lesiones;Ceuta;2015;33
Lesiones;Melilla;2022;33
Lesiones;Melilla;2021;23
Lesiones;Melilla;2020;26
Lesiones;Melilla;2019;33
Lesiones;Melilla;2018;27
Lesiones;Melilla;2017;33
Lesiones;Melilla;2016;38
Lesiones;Melilla;2015;42
Detenciones ilegales y secuestro;Andalucía;2022;7
Detenciones ilegales y secuestro;Andalucía;2021;1
Detenciones ilegales y secuestro;Andalucía;2020;6
Detenciones ilegales y secuestro;Andalucía;2019;5
Detenciones ilegales y secuestro;Andalucía;2018;3
Detenciones ilegales y secuestro;Andalucía;2017;7
Detenciones ilegales y secuestro;Andalucía;2016;5
Detenciones ilegales y secuestro;Andalucía;2015;5
Detenciones ilegales y secuestro;Aragón;2022;1
Detenciones ilegales y secuestro;Aragón;2021;1
Detenciones ilegales y secuestro;Aragón;2020;0
Detenciones ilegales y secuestro;Aragón;2019;0
Detenciones ilegales y secuestro;Aragón;2018;0
Detenciones ilegales y secuestro;Aragón;2017;1
Detenciones ilegales y secuestro;Aragón;2016;0
Detenciones ilegales y secuestro;Aragón;2015;0
Detenciones ilegales y secuestro;Asturias, Principado de;2022;1
Detenciones ilegales y secuestro;Asturias, Principado de;2021;1
Detenciones ilegales y secuestro;Asturias, Principado de;2020;0
Detenciones ilegales y secuestro;Asturias, Principado de;2019;0
Detenciones ilegales y secuestro;Asturias, Principado de;2018;0
Detenciones ilegales y secuestro;Asturias, Principado de;2017;0
Detenciones ilegales y secuestro;Asturias, Principado de;2016;2
Detenciones ilegales y secuestro;Asturias, Principado de;2015;1
Detenciones ilegales y secuestro;Balears, Illes;2022;0
Detenciones ilegales y secuestro;Balears, Illes;2021;1
Detenciones ilegales y secuestro;Balears, Illes;2020;0
Detenciones ilegales y secuestro;Balears, Illes;2019;1
Detenciones ilegales y secuestro;Balears, Illes;2018;0
Detenciones ilegales y secuestro;Balears, Illes;2017;0
Detenciones ilegales y secuestro;Balears, Illes;2016;1
Detenciones ilegales y secuestro;Balears, Illes;2015;0
Detenciones ilegales y secuestro;Canarias;2022;1
Detenciones ilegales y secuestro;Canarias;2021;1
Detenciones ilegales y secuestro;Canarias;2020;1
Detenciones ilegales y secuestro;Canarias;2019;1
Detenciones ilegales y secuestro;Canarias;2018;0
Detenciones ilegales y secuestro;Canarias;2017;1
Detenciones ilegales y secuestro;Canarias;2016;2
Detenciones ilegales y secuestro;Canarias;2015;0
Detenciones ilegales y secuestro;Cantabria;2022;1
Detenciones ilegales y secuestro;Cantabria;2021;0
Detenciones ilegales y secuestro;Cantabria;2020;0
Detenciones ilegales y secuestro;Cantabria;2019;0
Detenciones ilegales y secuestro;Cantabria;2018;1
Detenciones ilegales y secuestro;Cantabria;2017;0
Detenciones ilegales y secuestro;Cantabria;2016;0
Detenciones ilegales y secuestro;Cantabria;2015;1
Detenciones ilegales y secuestro;Castilla y León;2022;4
Detenciones ilegales y secuestro;Castilla y León;2021;0
Detenciones ilegales y secuestro;Castilla y León;2020;1
Detenciones ilegales y secuestro;Castilla y León;2019;4
Detenciones ilegales y secuestro;Castilla y León;2018;0
Detenciones ilegales y secuestro;Castilla y León;2017;1
Detenciones ilegales y secuestro;Castilla y León;2016;0
Detenciones ilegales y secuestro;Castilla y León;2015;0
Detenciones ilegales y secuestro;Castilla - La Mancha;2022;2
Detenciones ilegales y secuestro;Castilla - La Mancha;2021;2
Detenciones ilegales y secuestro;Castilla - La Mancha;2020;1
Detenciones ilegales y secuestro;Castilla - La Mancha;2019;0
Detenciones ilegales y secuestro;Castilla - La Mancha;2018;0
Detenciones ilegales y secuestro;Castilla - La Mancha;2017;0
Detenciones ilegales y secuestro;Castilla - La Mancha;2016;1
Detenciones ilegales y secuestro;Castilla - La Mancha;2015;2
Detenciones ilegales y secuestro;Cataluña;2022;3
Detenciones ilegales y secuestro;Cataluña;2021;3
Detenciones ilegales y secuestro;Cataluña;2020;5
Detenciones ilegales y secuestro;Cataluña;2019;1
Detenciones ilegales y secuestro;Cataluña;2018;1
Detenciones ilegales y secuestro;Cataluña;2017;5
Detenciones ilegales y secuestro;Cataluña;2016;3
Detenciones ilegales y secuestro;Cataluña;2015;2
Detenciones ilegales y secuestro;Comunitat Valenciana;2022;6
Detenciones ilegales y secuestro;Comunitat Valenciana;2021;6
Detenciones ilegales y secuestro;Comunitat Valenciana;2020;4
Detenciones ilegales y secuestro;Comunitat Valenciana;2019;4
Detenciones ilegales y secuestro;Comunitat Valenciana;2018;2
Detenciones ilegales y secuestro;Comunitat Valenciana;2017;3
Detenciones ilegales y secuestro;Comunitat Valenciana;2016;6
Detenciones ilegales y secuestro;Comunitat Valenciana;2015;0
Detenciones ilegales y secuestro;Extremadura;2022;1
Detenciones ilegales y secuestro;Extremadura;2021;0
Detenciones ilegales y secuestro;Extremadura;2020;0
Detenciones ilegales y secuestro;Extremadura;2019;1
Detenciones ilegales y secuestro;Extremadura;2018;0
Detenciones ilegales y secuestro;Extremadura;2017;0
Detenciones ilegales y secuestro;Extremadura;2016;0
Detenciones ilegales y secuestro;Extremadura;2015;0
Detenciones ilegales y secuestro;Galicia;2022;2
Detenciones ilegales y secuestro;Galicia;2021;2
Detenciones ilegales y secuestro;Galicia;2020;0
Detenciones ilegales y secuestro;Galicia;2019;1
Detenciones ilegales y secuestro;Galicia;2018;2
Detenciones ilegales y secuestro;Galicia;2017;2
Detenciones ilegales y secuestro;Galicia;2016;1
Detenciones ilegales y secuestro;Galicia;2015;1
Detenciones ilegales y secuestro;Madrid, Comunidad de;2022;4
Detenciones ilegales y secuestro;Madrid, Comunidad de;2021;1
Detenciones ilegales y secuestro;Madrid, Comunidad de;2020;0
Detenciones ilegales y secuestro;Madrid, Comunidad de;2019;2
Detenciones ilegales y secuestro;Madrid, Comunidad de;2018;2
Detenciones ilegales y secuestro;Madrid, Comunidad de;2017;1
Detenciones ilegales y secuestro;Madrid, Comunidad de;2016;1
Detenciones ilegales y secuestro;Madrid, Comunidad de;2015;1
Detenciones ilegales y secuestro;Murcia, Región de;2022;4
Detenciones ilegales y secuestro;Murcia, Región de;2021;0
Detenciones ilegales y secuestro;Murcia, Región de;2020;0
Detenciones ilegales y secuestro;Murcia, Región de;2019;0
Detenciones ilegales y secuestro;Murcia, Región de;2018;0
Detenciones ilegales y secuestro;Murcia, Región de;2017;2
Detenciones ilegales y secuestro;Murcia, Región de;2016;0
Detenciones ilegales y secuestro;Murcia, Región de;2015;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2022;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2021;1
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2020;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2019;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2018;0
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2017;1
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2016;1
Detenciones ilegales y secuestro;Navarra, Comunidad Foral de;2015;1
Detenciones ilegales y secuestro;País Vasco;2022;2
Detenciones ilegales y secuestro;País Vasco;2021;1
Detenciones ilegales y secuestro;País Vasco;2020;0
Detenciones ilegales y secuestro;País Vasco;2019;2
Detenciones ilegales y secuestro;País Vasco;2018;0
Detenciones ilegales y secuestro;País Vasco;2017;3
Detenciones ilegales y secuestro;País Vasco;2016;1
Detenciones ilegales y secuestro;País Vasco;2015;1
Detenciones ilegales y secuestro;Rioja, La;2022;1
Detenciones ilegales y secuestro;Rioja, La;2021;0
Detenciones ilegales y secuestro;Rioja, La;2020;0
Detenciones ilegales y secuestro;Rioja, La;2019;1
Detenciones ilegales y secuestro;Rioja, La;2018;0
Detenciones ilegales y secuestro;Rioja, La;2017;0
Detenciones ilegales y secuestro;Rioja, La;2016;0
Detenciones ilegales y secuestro;Rioja, La;2015;5
Detenciones ilegales y secuestro;Ceuta;2022;0
Detenciones ilegales y secuestro;Ceuta;2021;0
Detenciones ilegales y secuestro;Ceuta;2020;0
Detenciones ilegales y secuestro;Ceuta;2019;0
Detenciones ilegales y secuestro;Ceuta;2018;0
Detenciones ilegales y secuestro;Ceuta;2017;0
Detenciones ilegales y secuestro;Ceuta;2016;0
Detenciones ilegales y secuestro;Ceuta;2015;0
Detenciones ilegales y secuestro;Melilla;2022;0
Detenciones ilegales y secuestro;Melilla;2021;0
Detenciones ilegales y secuestro;Melilla;2020;0
Detenciones ilegales y secuestro;Melilla;2019;0
Detenciones ilegales y secuestro;Melilla;2018;0
Detenciones ilegales y secuestro;Melilla;2017;0
Detenciones ilegales y secuestro;Melilla;2016;0
Detenciones ilegales y secuestro;Melilla;2015;0
Amenazas;Andalucía;2022;2.110
Amenazas;Andalucía;2021;1.972
Amenazas;Andalucía;2020;1.567
Amenazas;Andalucía;2019;1.870
Amenazas;Andalucía;2018;1.742
Amenazas;Andalucía;2017;1.753
Amenazas;Andalucía;2016;1.670
Amenazas;Andalucía;2015;1.614
Amenazas;Aragón;2022;198
Amenazas;Aragón;2021;144
Amenazas;Aragón;2020;114
Amenazas;Aragón;2019;156
Amenazas;Aragón;2018;177
Amenazas;Aragón;2017;191
Amenazas;Aragón;2016;172
