,2003,2004,2005,2007,2008,2010,2011,2012,2015,2016,2017,2018,2019,2020,2021,2022
País Vasco,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Cataluña,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Galicia,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
Andalucía,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Principado de Asturias,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cantabria,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Rioja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Región de Murcia,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Comunitat Valenciana,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aragón,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Castilla-La Mancha,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Canarias,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Comunidad Foral de Navarra,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Extremadura,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Islas Baleares,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Comunidad de Madrid,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Castilla y León,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
